epsilon,tracs_d,strawman,tracs_c
2,5.12670854393079,4.050091980556328,4.646329582197177
4,4.053908201052238,3.6920123092109405,3.627523367218994
6,3.1818829886537694,3.4332167718119697,2.8098107079113666
8,2.538682231411428,3.244968120847376,2.142789143649388
10,2.0844774096935668,3.1345862053141884,1.636429868910466
