epsilon,tracs_d,sw
2,0.44751229223373756,0.5904224892077874
4,0.3246195307315264,0.5148983131484791
6,0.23010313917727904,0.46940023133074654
8,0.16525396812131077,0.4446711052508558
10,0.1233697370486065,0.43178532465107655
