epsilon,tracs_d,strawman,tracs_c,2d_laplace
2,0.26378073785955436,0.1835061524779263,0.1733344694721972,0.26630214182156685
4,0.1874945315823417,0.16509704198746497,0.12445597227166794,0.19590930805750772
6,0.12893104660648458,0.14854573510537605,0.08304092919083468,0.1509783046517808
8,0.08985418327658465,0.13774570960022742,0.053425983601666956,0.12416093057682233
10,0.06574983087356652,0.13139124243303937,0.033657588834127554,0.10483907123956981
