epsilon,tracs_d,strawman,tracs_c,2d_laplace
2,0.1366265092886538,0.10400846030019407,0.12987309812384243,0.23015326215282864
4,0.0928357878007333,0.08956260026281383,0.09401180780740633,0.18297316906307107
6,0.06908353630382263,0.07481265095706964,0.06479011506684616,0.14789872986851546
8,0.05290084560476494,0.06464817530926316,0.04273228324844007,0.12175463084100831
10,0.04236859710711406,0.055245730376125485,0.027475541410720408,0.10273564628831942
