epsilon,tracs_d,3-RR,6-RR,12-RR
2,0.6201675606395969,0.7061719523753628,0.42593307368832095,0.22832980929730665
4,0.2930973526293611,0.6029534102925797,0.3655036754341975,0.1910208222456571
6,0.12863804283552835,0.5873901752343212,0.35218583025078937,0.17710281007294654
8,0.04503499478604129,0.5818911099020411,0.34769449190534385,0.17392833326542687
10,0.01792540471477666,0.5850391062854392,0.34788808684486067,0.1724366177703367
