epsilon,tracs_d,strawman,tracs_c
2,0.44831451381364273,0.347771599361167,0.3920449084929332
4,0.3236903250228125,0.3002149979963603,0.27863136773949365
6,0.2304710543594532,0.27218997664155625,0.18957876012621808
8,0.1659203979718492,0.2552061892596146,0.12437317369623661
10,0.12461369758929373,0.24265366344023695,0.07964528308431848
