epsilon,tp,ngram,srr,tracs_d,tracs_c
2,0.3936166165363417,0.45704650084886717,0.47202041463960065,0.4632958464099651,0.3969061834117283
4,0.36897182320232713,0.408894923225558,0.4227324458150902,0.33727655754194696,0.28767957528923266
6,0.3522557644728646,0.37370404412664254,0.39383978895935484,0.23754757078027314,0.18563574432862087
8,0.32095933571699903,0.32212555205269017,0.3725786324913174,0.16364784446727082,0.1265318106430797
10,0.3135333717228941,0.29334033871873927,0.3706011799106591,0.11999611319175642,0.07203569425558179
