epsilon,tp,ngram,srr,tracs_d,tracs_c
2,0.43164538,0.445585645,0.429145215,0.223854569,0.340501658
4,0.457388999,0.503438236,0.45747602,0.44761988,0.545965084
6,0.474977333,0.584606158,0.468180941,0.60734178,0.753920982
8,0.483297616,0.617790358,0.493138043,0.806357488,0.867261456
10,0.496537722,0.678371856,0.509411721,0.842911404,0.913050857
