epsilon,tp,ngram,tracs_d,tracs_c
2,0.08316772003449653,0.09495144711158159,0.13385124021072226,0.12613299271498668
4, 0.07731931037506466,0.0860982180152322,0.0882420787238374,0.08971443783172624
6,0.07317843631545741,0.07823772359413556,0.06729297389666661,0.062356277335869625
8,0.06998501795604158,0.07052984925063692,0.052723413539750685,0.04176979421183887
10,0.06427619427571567,0.06452541419558198,0.042017689908716835,0.027733073077206852

