epsilon,tp,ngram,srr,tracs_d,tracs_c
4,0.155183268,0.155887842,0.190743729,0.262394353,0.177505707
8,0.149992605,0.139632353,0.171129,0.191136244,0.146178442
16,0.142770886,0.101088283,0.145537427,0.137301983,0.110045661
32,0.103870738,0.074720794,0.136055153,0.092707881,0.077162354
64,0.062677053,0.051564255,0.13240599,0.051644714,0.050618303
