epsilon,tp,ngram,srr,tracs_d,tracs_c
2,0.42018929103227115,0.48011725005167794,0.49841191234317106,0.4612851387740073,0.41822392936892117
4,0.39728624510714694,0.4233544716240358,0.43903606783185645,0.3534530184860698,0.307762799768665
6,0.3823029437339375,0.3549349129254684,0.4174447030378783,0.2531106508400661,0.2149382072381362
8,0.35881829139603943,0.3054776641348702,0.40330588247813964,0.1913599252871044,0.15130319251303
10,0.35843916429348466,0.28560644541634633,0.38312718033644283,0.16284709617417542,0.13068071523423386
